Title,Worldwide Earnings,Domestic Earnings,Domestic Percent Earnings,Foreign Earnings,Foreign Percent Earnings,Year
The Family Stone,92884429,60062868,64.7,32821561,35.3,2005
Four Brothers,92374674,74494381,80.6,17880293,19.4,2005
White Noise,91196419,56386759,61.8,34809660,38.2,2005
Racing Stripes,90754475,49772522,54.8,40981953,45.2,2005
Transporter 2,89083229,43095856,48.4,45987373,51.6,2005
Rumor Has It...,88933562,43000262,48.4,45933300,51.6,2005
Sky High,86369815,63946815,74.0,22423000,26.0,2005
Match Point,85638656,23151529,27.0,62487127,73.0,2005
In Her Shoes,83697473,32880591,39.3,50816882,60.7,2005
The Constant Gardener,82466670,33579797,40.7,48886873,59.3,2005
Stealth,79268322,32116746,40.5,47151576,59.5,2005
Hostage,77608617,34639939,44.6,42968678,55.4,2005
Coach Carter,76669554,67264877,87.7,9404677,12.3,2005
The King and the Clown,74466867,0,0.0,74466867,100.0,2005
Yours Mine & Ours,72662923,53412862,73.5,19250061,26.5,2005
Lord of War,72617068,24149632,33.3,48467436,66.7,2005
The Adventures of Sharkboy and Lavagirl 30D,71992655,39177684,54.4,32814971,45.6,2005
xXx: State of the Union,71410636,26873932,37.6,44536704,62.4,2005
House of Wax,68766121,32064800,46.6,36701321,53.4,2005
Prime,67937494,22827153,33.6,45110341,66.4,2005
Boogeyman,67192859,46752382,69.6,20440477,30.4,2005
Zathura: A Space Adventure,65079236,29258869,45.0,35820235,55.0,2005
Valiant,61746888,19478106,31.5,42268782,68.5,2005
A History of Violence,61385065,31504633,51.3,29880432,48.7,2005
Son of the Mask,59981548,17018422,28.4,42963126,71.6,2005
Must Love Dogs,58231520,43894863,75.4,14336657,24.6,2005
Doom,58072119,28212337,48.6,29859782,51.4,2005
Derailed,57479076,36024076,62.7,21455000,37.3,2005
The Descent,57051053,26024456,45.6,31026597,54.4,2005
Elektra,56995646,24409722,42.8,32585924,57.2,2005
Kicking & Screaming,56070433,52842724,94.2,3227709,5.8,2005
Good Night and Good Luck.,54641191,31558003,57.8,23083188,42.2,2005
Æon Flux,53321673,25874337,48.5,27447336,51.5,2005
Pooh's Heffalump Movie,52858433,18098433,34.2,34760000,65.8,2005
Elizabethtown,52164016,26850426,51.5,25313590,48.5,2005
Just Friends,50912434,32619671,64.1,18292763,35.9,2005
Unleashed,50871113,24537621,48.2,26333492,51.8,2005
Diary of a Mad Black Woman,50652203,50633099,100.0,19104,0.1,2005
Fever Pitch,50605163,42071069,83.1,8534094,16.9,2005
Capote,49327405,28750530,58.3,20576875,41.7,2005
Broken Flowers,47329961,13744960,29.0,33585001,71.0,2005
The Wedding Date,47096206,31726995,67.4,15369211,32.6,2005
Land of the Dead,47074133,20700082,44.0,26374051,56.0,2005
Get Rich or Die Tryin',46563961,30985352,66.5,15578609,33.5,2005
The Fog,46201432,29550869,64.0,16650563,36.0,2005
Into the Blue,46117696,18801234,40.8,27316462,59.2,2005
Deuce Bigalow: European Gigolo,45109561,22400154,49.7,22709407,50.3,2005
Dark Water 2005 Re0release,44347079,25473352,57.4,18873727,42.6,2005
A Lot Like Love,42886719,21845719,50.9,21041000,49.1,2005
Oliver Twist,42580321,2080321,4.9,40500000,95.1,2005
The Sisterhood of the Traveling Pants,42013878,39053061,93.0,2960817,7.0,2005
Serenity,40445129,25514517,63.1,14930612,36.9,2005
The Ringer,40442443,35428675,87.6,5013768,12.4,2005
Magnificent Desolation: Walking on the Moon,40339402,34137524,84.6,6201878,15.4,2005
Yamato,39287114,0,0.0,39287114,100.0,2005
Dreamer,38741732,32751093,84.5,5990639,15.5,2005
Always: Sunset on Third Street,38573583,0,0.0,38573583,100.0,2005
The Producers,38075318,19398532,50.9,18676786,49.1,2005
Casanova,37691644,11304403,30.0,26387241,70.0,2005
Beauty Shop,37245453,36351350,97.6,894103,2.4,2005
Pokémon: Lucario and the Mystery of Mew,37228626,0,0.0,37228626,100.0,2005
Negotiator: Mashita Masayoshi,36733286,0,0.0,36733286,100.0,2005
Assault on Precinct 13,35294470,20040895,56.8,15253575,43.2,2005
Nana,34671042,0,0.0,34671042,100.0,2005
Wild Safari 0 A South African Adventure,34257135,16621530,48.5,17635605,51.5,2005
Bad News Bears,34252847,32868349,96.0,1384498,4.0,2005
Because of Winn0Dixie,33589427,32647042,97.2,942385,2.8,2005
The Cave,33296457,15007991,45.1,18288466,54.9,2005
Marathon,33284089,0,0.0,33284089,100.0,2005
The Brice Man,33026616,0,0.0,33026616,100.0,2005
Cry Wolf,32586408,10047674,30.8,22538734,69.2,2005
The Suspect: Muroi Shinji,32104229,0,0.0,32104229,100.0,2005
Marrying the Mafia 2: Enemy0in0Law,31835989,0,0.0,31835989,100.0,2005
Welcome to Dongmakgol,31787130,0,0.0,31787130,100.0,2005
Rent,31670620,29077547,91.8,2593073,8.2,2005
The New World 2005 Re0release,31510855,12712093,40.3,18798762,59.7,2005
Train Man,31090100,0,0.0,31090100,100.0,2005
The Promise,30925693,669625,2.2,30256068,97.8,2005
Wolf Creek,30762648,16188180,52.6,14574468,47.4,2005
Two for the Money,30526509,22991379,75.3,7535130,24.7,2005
Cursed,29621722,19297522,65.1,10324200,34.9,2005
The Upside of Anger,28237488,18761993,66.4,9475495,33.6,2005
Mrs. Henderson Presents,27876417,11036366,39.6,16840051,60.4,2005
Ice Princess,27645491,24402491,88.3,3243000,11.7,2005
Goal! The Dream Begins,27610873,4283255,15.5,23327618,84.5,2005
The Protector,27165581,12044087,44.3,15121494,55.7,2005
Doogal,26711924,7438000,27.8,19273924,72.2,2005
Typhoon,26179656,139059,0.5,26040597,99.5,2005
9th Company,26146165,0,0.0,26146165,100.0,2005
Natale a Miami,25643184,0,0.0,25643184,100.0,2005
The Tiger and the Snow,25460023,10167,0.1,25449856,100.0,2005
North Country,25211175,18337722,72.7,6873453,27.3,2005
April Snow,24873159,0,0.0,24873159,100.0,2005
I Love You in Every Language in the World,23941317,0,0.0,23941317,100.0,2005
Lady Vengeance,23834149,211667,0.9,23622482,99.1,2005
Russian Dolls,23727301,326095,1.4,23401206,98.6,2005
Hustle & Flow,23563727,22202809,94.2,1360918,5.8,2005
Another Public Enemy,23248003,0,0.0,23248003,100.0,2005
Domino,22944502,10169202,44.3,12775300,55.7,2005
The White Massai,22632255,0,0.0,22632255,100.0,2005
Manual of Love,22079820,0,0.0,22079820,100.0,2005
Torrente 3: El protector,21762391,0,0.0,21762391,100.0,2005
Man of the House,21577624,19699706,91.3,1877918,8.7,2005
Year One in the North,21360942,0,0.0,21360942,100.0,2005
The Jacket,21126225,6303762,29.8,14822463,70.2,2005
The Devil's Rejects,20901859,17044981,81.5,3856878,18.5,2005
A Moment to Remember,20865847,0,0.0,20865847,100.0,2005
Lorelei,19806585,0,0.0,19806585,100.0,2005
The Perfect Man,19770475,16535005,83.6,3235470,16.4,2005
Mapado,19286223,0,0.0,19286223,100.0,2005
The Weather Man,19126398,12482775,65.3,6643623,34.7,2005
Iznogoud0 Caliph Instead of the Caliph,18725588,0,0.0,18725588,100.0,2005
Detective Conan: Strategy Above the Depths,18723952,0,0.0,18723952,100.0,2005
Waiting...,18637690,16124543,86.5,2513147,13.5,2005
An Unfinished Life,18618284,8586392,46.1,10031892,53.9,2005
My Father and My Son,18612999,0,0.0,18612999,100.0,2005
Keeping Mum,18575768,1619466,8.7,16956302,91.3,2005
The Turkish Gambit,18520000,0,0.0,18520000,100.0,2005
As It Is in Heaven,18318233,0,0.0,18318233,100.0,2005
The World's Fastest Indian,18297690,5128124,28.0,13169566,72.0,2005
Night Watch 2005 Re0release,17939389,1502188,8.4,16437201,91.6,2005
Joyeux Noel,17709155,1054361,6.0,16654794,94.0,2005
You Are My Sunshine,17650142,0,0.0,17650142,100.0,2005
Palais royal!,17612135,0,0.0,17612135,100.0,2005
Roll Bounce,17500866,17380866,99.3,120000,0.7,2005
Rebound,17492014,16809014,96.1,683000,3.9,2005
Stormy Night,17379776,0,0.0,17379776,100.0,2005
The Matador,17347231,12594698,72.6,4752533,27.4,2005
Aegis,16869261,0,0.0,16869261,100.0,2005
Caché,16197824,3647381,22.5,12550443,77.5,2005
The Great Yokai War,15787492,0,0.0,15787492,100.0,2005
Kiss Kiss Bang Bang,15785148,4243756,26.9,11541392,73.1,2005
The Gospel,15778152,15778152,100.0,0,0.0,2005
Two Sons of Francisco,15508288,0,0.0,15508288,100.0,2005
The Greatest Game Ever Played,15431177,15337393,99.4,93784,0.6,2005
Transamerica,15151744,9015303,59.5,6136441,40.5,2005
Murder Take One,14915208,0,0.0,14915208,100.0,2005
Most Beautiful Week in My Life,14765033,0,0.0,14765033,100.0,2005
Samurai Commando: Mission 1549,14648713,0,0.0,14648713,100.0,2005
Blood Rain,14270938,0,0.0,14270938,100.0,2005
Proof,14189860,7535331,53.1,6654529,46.9,2005
Pirates of the Caribbean: Dead Man's Chest,1066179725,423315812,39.7,642863913,60.3,2006
The Da Vinci Code,760006945,217536138,28.6,542470807,71.4,2006
Ice Age: The Meltdown,660998756,195330621,29.6,465668135,70.4,2006
Casino Royale,606000064,167445960,27.6,438553632,72.4,2006
Night at the Museum,574480841,250863268,43.7,323617573,56.3,2006
Cars,461983149,244082982,52.8,217900167,47.2,2006
X0Men: The Last Stand,460435291,234362462,50.9,226072829,49.1,2006
Mission: Impossible III,398479497,134029801,33.6,264449696,66.4,2006
Superman Returns,391081192,200081192,51.2,191000000,48.8,2006
Happy Feet,384335608,198000317,51.5,186335291,48.5,2006
Over the Hedge,339795890,155019340,45.6,184776550,54.4,2006
The Devil Wears Prada,326711975,124740460,38.2,201965442,61.8,2006
The Pursuit of Happyness,307127625,163566459,53.3,143561166,46.7,2006
The Departed,291465034,132384315,45.4,159080719,54.6,2006
Borat,262552893,128505958,48.9,134046935,51.1,2006
Eragon,250425512,75030163,30.0,175395349,70.0,2006
Click,240685326,137355633,57.1,103329693,42.9,2006
The Holiday,205844805,63224849,30.7,142617036,69.3,2006
The Break0Up,205668210,118703275,57.7,86964935,42.3,2006
Open Season,200811689,85105259,42.4,115706430,57.6,2006
Inside Man,186003591,88513495,47.6,97490096,52.4,2006
Poseidon,181674817,60674817,33.4,121000000,66.6,2006
Deja Vu,180557550,64038616,35.5,116518934,64.5,2006
Flushed Away,178281554,64665672,36.3,113615882,63.7,2006
Scary Movie 4,178262620,90710620,50.9,87552000,49.1,2006
Blood Diamond,171720398,57377916,33.4,114342482,66.6,2006
Saw III,164874275,80238724,48.7,84635551,51.3,2006
The Pink Panther,164115897,82226474,50.1,81889423,49.9,2006
Miami Vice,163794509,63450470,38.7,100344039,61.3,2006
Talladega Nights: The Ballad of Ricky Bobby,163362095,148213377,90.7,15148718,9.3,2006
World Trade Center,163247198,70278893,43.1,92968305,56.9,2006
The Fast and the Furious: Tokyo Drift,158964610,62514415,39.3,96450195,60.7,2006
Rocky Balboa,155929020,70270943,45.1,85658077,54.9,2006
Dreamgirls,155430335,103365956,66.5,52064379,33.5,2006
Charlotte's Web,148964090,82985708,55.7,65978114,44.3,2006
Garfield: A Tail of Two Kitties,143325970,28426747,19.8,114899223,80.2,2006
Monster House,141861243,73661010,51.9,68200233,48.1,2006
Big Momma's House 2,141522961,70165972,49.6,71356989,50.4,2006
Babel,135330182,34302837,25.3,101027345,74.7,2006
Perfume: The Story of a Murderer,135039924,2223293,1.6,132816631,98.4,2006
V for Vendetta,132511035,70511035,53.2,62000000,46.8,2006
You Me and Dupree,130628903,75628110,57.9,55000793,42.1,2006
Failure to Launch,130224158,88715192,68.1,41508966,31.9,2006
The Queen,123384128,56441711,45.7,66942417,54.3,2006
Apocalypto,120654337,50866635,42.2,69787702,57.8,2006
Eight Below,120455994,81612565,67.8,38843429,32.2,2006
The Omen,119974972,54607383,45.5,65367589,54.5,2006
Final Destination 3,118890272,54098051,45.5,64792221,54.5,2006
Barnyard,116755080,72637803,62.2,44117277,37.8,2006
The Lake House,114830111,52330111,45.6,62500000,54.4,2006
Step Up,114194847,65328121,57.2,48866726,42.8,2006
Underworld: Evolution,111476513,62318875,55.9,49157638,44.1,2006
The Santa Clause 3: The Escape Clause,110768122,84500122,76.3,26268000,23.7,2006
The Prestige,109676311,53089891,48.4,56586420,51.6,2006
Arthur and the Invisibles,107944236,15132763,14.0,92811473,86.0,2006
Little Man,104003322,58645052,56.4,45358270,43.6,2006
The Wild,102338515,37384046,36.5,64954469,63.5,2006
Little Miss Sunshine,101058954,59891098,59.3,41167856,40.7,2006
Silent Hill,100605135,46982632,46.7,53622503,53.3,2006
The Good Shepherd,100266865,59952835,59.8,40314030,40.2,2006
Nacho Libre,99255460,80197993,80.8,19057467,19.2,2006
Deep Sea,98230905,46412757,47.2,51818148,52.8,2006
The Guardian,94973540,55011732,57.9,39961808,42.1,2006
The Host,89431890,2201923,2.5,87229967,97.5,2006
The Illusionist,87892388,39868642,45.4,48023746,54.6,2006
RV,87528173,71726025,81.9,15802148,18.1,2006
The Shaggy Dog,87134280,61123569,70.1,26010711,29.9,2006
Date Movie,85749034,48548426,56.6,37200608,43.4,2006
Volver,85585177,12899867,15.1,72685310,84.9,2006
Jackass Number Two,84645164,72778712,86.0,11866452,14.0,2006
French Fried Vacation 3: Friends Forever,84152064,0,0.0,84152064,100.0,2006
Pan's Labyrinth,83850267,37634615,44.9,46215652,55.1,2006
Firewall,82751189,48751189,58.9,34000000,41.1,2006
Hostel,81979826,47326473,57.7,34653353,42.3,2006
The Sentinel,78810595,36280697,46.0,42529898,54.0,2006
Curse of the Golden Flower,78568977,6566773,8.4,72002204,91.6,2006
The Lives of Others,77356942,11286112,14.6,66070830,85.4,2006
United 93,76700659,31483450,41.0,45217209,59.0,2006
Lady in the Water,72785169,42285169,58.1,30500000,41.9,2006
The Grudge 2,70711175,39143839,55.4,31567336,44.6,2006
Children of Men,70455770,35552383,50.5,34903387,49.5,2006
The Hills Have Eyes,70008952,41778863,59.7,28230089,40.3,2006
Curious George,69865924,58360760,83.5,11505164,16.5,2006
John Tucker Must Die,68844775,41011711,59.6,27833064,40.4,2006
Letters from Iwo Jima,68673228,13756082,20.0,54917146,80.0,2006
Tales from Earthsea,68625104,0,0.0,68625104,100.0,2006
Fearless,68072848,24633730,36.2,43439118,63.8,2006
When a Stranger Calls,67062123,47860214,71.4,19201909,28.6,2006
Take the Lead,66499627,34742066,52.2,31757561,47.8,2006
Flags of Our Fathers,65900249,33602376,51.0,32297873,49.0,2006
16 Blocks,65664721,36895141,56.2,28769580,43.8,2006
The Benchwarmers,64962629,59843754,92.1,5118875,7.9,2006
Madea's Family Reunion,63368939,63318000,99.9,50939,0.1,2006
Snakes on a Plane,62022014,34020814,54.9,28001200,45.1,2006
My Super Ex0Girlfriend,61108981,22530295,36.9,38578686,63.1,2006
Marie Antoinette,60917189,15962471,26.2,44954718,73.8,2006
Limit of Love: Umizaru,60369589,0,0.0,60369589,100.0,2006
Invincible,58480828,57806952,98.8,673876,1.2,2006
She's the Man,57194667,33741133,59.0,23453534,41.0,2006
Lucky Number Slevin,56308881,22495466,40.0,33813415,60.0,2006
The Ant Bully,55181129,28142535,51.0,27038594,49.0,2006
Stranger Than Fiction,53653224,40660952,75.8,12992272,24.2,2006
The Texas Chainsaw Massacre: The Beginning,51764406,39517763,76.3,12246643,23.7,2006
Doomsday: The Sinking of Japan,51127401,0,0.0,51127401,100.0,2006
Notes on a Scandal,49814392,17510118,35.2,32304274,64.8,2006
An Inconvenient Truth,49782012,24146161,48.5,25635851,51.5,2006
The Black Dahlia,49332692,22545080,45.7,26787612,54.3,2006
The Last King of Scotland,48618191,17606684,36.2,31011507,63.8,2006
Suite Dreams,48090431,0,0.0,48090431,100.0,2006
Death Note: The Last Name,47917637,0,0.0,47917637,100.0,2006
Deck the Halls,47232776,35093569,74.3,12139207,25.7,2006
The Nativity Story,46432264,37629831,81.0,8802433,19.0,2006
We Are Marshall,43545364,43545364,100.0,0,0.0,2006
Last Holiday,43451846,38399961,88.4,5051885,11.6,2006
Glory Road,42938449,42647449,99.3,291000,0.7,2006
Crank,42931041,27838408,64.8,15092633,35.2,2006
Man of the Year,42472472,37327390,87.9,5145082,12.1,2006
A Good Year,42269923,7459300,17.6,34810623,82.4,2006
200 Pounds Beauty,42013016,0,0.0,42013016,100.0,2006
Gridiron Gang,41480851,38432823,92.7,3048028,7.3,2006
Thank You for Smoking,39323027,24793509,63.1,14529518,36.9,2006
Scoop,39220946,10525717,26.8,28695229,73.2,2006
Tazza: The High Rollers,39212715,0,0.0,39212715,100.0,2006
The Wicker Man,38805380,23649127,60.9,15156253,39.1,2006
Basic Instinct 2,38629478,5971336,15.5,32658142,84.5,2006
Accepted,38623262,36323505,94.0,2299757,6.0,2006
Employee of the Month,38528984,28444855,73.8,10084129,26.2,2006
Day Watch,38411815,0,0.0,38411815,100.0,2006
Just My Luck,38159905,17326650,45.4,20833255,54.6,2006
Camping,37912041,0,0.0,37912041,100.0,2006
The Covenant,37598767,23380495,62.2,14218272,37.8,2006
Miss Potter,35078241,3005605,8.6,32072636,91.4,2006
Bambi II,34958637,0,0.0,34958637,100.0,2006
Love and Honor,33755574,60910,0.2,33694664,99.8,2006
Tell No One,33406992,6177192,18.5,27229800,81.5,2006
7 Dwarves: The Forest Is Not Enough,32863752,0,0.0,32863752,100.0,2006
Dhoom 2,32396427,2643586,8.2,29752841,91.8,2006
Stick It,31976848,26910736,84.2,5066112,15.8,2006
Deutschland. Ein Sommermärchen,31257991,0,0.0,31257991,100.0,2006
Ultraviolet,31070211,18535812,59.7,12534399,40.3,2006
Doraemon the Movie: Nobita's Dinosaur,30963292,0,0.0,30963292,100.0,2006
Twosabu ilchae,30622421,0,0.0,30622421,100.0,2006
Natale a New York,30437121,0,0.0,30437121,100.0,2006
I Do: How to Get Married and Stay Single,30057369,0,0.0,30057369,100.0,2006
Pulse,29907685,20264436,67.8,9643249,32.2,2006
Death Note,29630359,0,0.0,29630359,100.0,2006
An American Haunting,29612137,16298046,55.0,13314091,45.0,2006
The Valet,29414553,1926800,6.6,27487753,93.4,2006
Tristan + Isolde,28047963,14734633,52.5,13313330,47.5,2006
Priceless,27949650,2165188,7.7,25784462,92.3,2006
Pokémon Ranger and the Temple of the Sea,27638625,0,0.0,27638625,100.0,2006
Stay Alive,27298695,23086480,84.6,4212215,15.4,2006
Clerks II,26984975,24148068,89.5,2836907,10.5,2006
The Painted Veil,26910847,8060487,30.0,18850360,70.0,2006
Black Book,26768563,4398532,16.4,22370031,83.6,2006
Detective Conan: The Private Eyes' Requiem,26251232,0,0.0,26251232,100.0,2006
A Prairie Home Companion,25978867,20342852,78.3,5636015,21.7,2006
You Are So Beautiful,25329576,0,0.0,25329576,100.0,2006
Tears for You,25300338,0,0.0,25300338,100.0,2006
Kabhi Alvida Naa Kehna,25229168,3275444,13.0,21953724,87.0,2006
School for Scoundrels,23947685,17807569,74.4,6140116,25.6,2006
Stormbreaker,23937870,677646,2.8,23260224,97.2,2006
Il mio miglior nemico,23710143,0,0.0,23710143,100.0,2006
Valley of the Wolves: Iraq,23465471,0,0.0,23465471,100.0,2006
Captain Alatriste: The Spanish Musketeer,23321954,0,0.0,23321954,100.0,2006
OSS 117: Cairo Nest of Spies,23055884,303543,1.3,22752341,98.7,2006
Aquamarine,22989957,18597342,80.9,4392615,19.1,2006
Days of Glory,22963701,320700,1.4,22643001,98.6,2006
The Wind that Shakes the Barley,22899908,1836089,8.0,21063819,92.0,2006
The Banquet,22598772,0,0.0,22598772,100.0,2006
Asterix and the Vikings,22501596,0,0.0,22501596,100.0,2006
Fanaa,22175908,2105352,9.5,20070556,90.5,2006
The Marine,22165608,18844784,85.0,3320824,15.0,2006
Unaccompanied Minors,21949234,16655224,75.9,5294010,24.1,2006
Flicka,21893591,21000147,95.9,893444,4.1,2006
Rob0B0Hood,21836580,0,0.0,21836580,100.0,2006
Wolfhound,21573338,0,0.0,21573338,100.0,2006
Black Christmas,21510851,16273581,75.7,5237270,24.3,2006
Waist Deep,21353303,21344312,100.0,8991,0.1,2006
ATL,21170563,21170563,100.0,0,0.0,2006
Bobby,20704591,11242801,54.3,9461790,45.7,2006
Beerfest,20387597,19185184,94.1,1202413,5.9,2006
Don,19640129,2223961,11.3,17416168,88.7,2006
Movie: Marrying the Mafia 3 0 Family Hustle,19606487,0,0.0,19606487,100.0,2006
Akeelah and the Bee,18948425,18848430,99.5,99995,0.5,2006
See No Evil,18564467,15032800,81.0,3531667,19.0,2006
Hanbando,18483140,0,0.0,18483140,100.0,2006
Bandidas,18381890,0,0.0,18381890,100.0,2006
Friends with Money,18245244,13368437,73.3,4876807,26.7,2006
Krrish,18041250,1430721,7.9,16610529,92.1,2006
Lage Raho Munna Bhai,17897527,2217562,12.4,15679965,87.6,2006
Flyboys,17834865,13090630,73.4,4744235,26.6,2006
Battle of the Warriors,17812601,0,0.0,17812601,100.0,2006
Memories of Tomorrow,17696020,140200,0.8,17555820,99.2,2006
Grave Decisions,17685834,0,0.0,17685834,100.0,2006
Orchestra Seats,17574836,2044858,11.6,15529978,88.4,2006
Annapolis,17496992,17127992,97.9,369000,2.1,2006
Paris I Love You,17471727,4899278,28.0,12572449,72.0,2006
Material Girls,16907725,11449638,67.7,5458087,32.3,2006
Zhara,16877870,0,0.0,16877870,100.0,2006
Pirates of the Caribbean: At World's End,960996492,309420425,32.2,651576067,67.8,2007
Harry Potter and the Order of the Phoenix,941934579,292004738,31.0,649928484,69.0,2007
Spider0Man 3,894983373,336530303,37.6,558453070,62.4,2007
Shrek the Third,813367380,322719944,39.7,490647436,60.3,2007
Transformers,709709780,319246193,45.0,390463587,55.0,2007
Ratatouille,623726085,206445654,33.1,417280431,66.9,2007
I Am Legend,585410052,256393010,43.8,329017042,56.2,2007
The Simpsons Movie,536414270,183135014,34.1,353279256,65.9,2007
National Treasure: Book of Secrets,459242249,219964115,47.9,239278134,52.1,2007
300,456068181,210614939,46.2,245453242,53.8,2007
The Bourne Ultimatum,444100035,227471070,51.2,216628965,48.8,2007
Live Free or Die Hard,388156011,134529403,34.7,253626608,65.3,2007
The Golden Compass,372234864,70107728,18.8,302127136,81.2,2007
Alvin and the Chipmunks,365352546,217326974,59.5,148025572,40.5,2007
Enchanted,340487652,127807262,37.5,212680390,62.5,2007
Ocean's Thirteen,311312624,117154724,37.6,194157900,62.4,2007
Fantastic Four: Rise of the Silver Surfer,301913131,131921738,43.7,169991393,56.3,2007
Bee Movie,293514336,126631277,43.1,166883059,56.9,2007
American Gangster,269755430,130164645,48.3,139590785,51.7,2007
Rush Hour 3,258097122,140125968,54.3,117971154,45.7,2007
Wild Hogs,253625427,168273550,66.3,85351877,33.7,2007
Juno,232372681,143495265,61.8,88877416,38.2,2007
Mr. Bean's Holiday,232225908,33302167,14.3,198923741,85.7,2007
Ghost Rider,228738393,115802596,50.6,112935797,49.4,2007
Knocked Up,219922417,148768917,67.6,71153500,32.4,2007
Hairspray,203553768,118871849,58.4,84681073,41.6,2007
Beowulf,196393745,82280579,41.9,114113166,58.1,2007
I Now Pronounce You Chuck & Larry,187134117,120059556,64.2,67074561,35.8,2007
Knowing,183658498,79957634,43.5,103700864,56.5,2007
The Bucket List,175372502,93466502,53.3,81906000,46.7,2007
Evan Almighty,174440724,100462298,57.6,73978426,42.4,2007
No Country for Old Men,171627166,74283625,43.3,97343541,56.7,2007
Superbad,170812574,121463226,71.1,49349300,28.9,2007
Meet the Robinsons,169333034,97822171,57.8,71510863,42.2,2007
Norbit,159814490,95673607,59.9,64140883,40.1,2007
P.S. I Love You,156835339,53695808,34.2,103139531,65.8,2007
Sweeney Todd: The Demon Barber of Fleet Street,153383627,52898073,34.5,100485554,65.5,2007
Surf's Up,152005713,58867694,38.7,93138019,61.3,2007
The Game Plan,147880543,90648202,61.3,57232341,38.7,2007
Resident Evil: Extinction,147717833,50648679,34.3,97069154,65.7,2007
Music and Lyrics,145896422,50572589,34.7,95323833,65.3,2007
Blades of Glory,145710347,118594548,81.4,27115799,18.6,2007
Saw IV,139352633,63300095,45.4,76052538,54.6,2007
Bridge to Terabithia,137587063,82272442,59.8,55314621,40.2,2007
Stardust,137515140,38634938,28.1,98880202,71.9,2007
1408,132963417,71985628,54.1,60977789,45.9,2007
Aliens vs. Predator: Requiem,130290885,41797066,32.1,88493819,67.9,2007
Atonement,129266061,50927067,39.4,78338994,60.6,2007
The Heartbreak Kid,128453183,36787257,28.6,91665926,71.4,2007
Charlie Wilson's War,119483446,66661095,55.8,52822351,44.2,2007
Disturbia,118114220,80209692,67.9,37904528,32.1,2007
Earth,108975160,32011576,29.4,76963584,70.6,2007
The Water Horse,103967384,40946255,39.4,63021129,60.6,2007
Hitman,101276318,39687694,39.2,61588624,60.8,2007
Fred Claus,97838349,72006777,73.6,25831572,26.4,2007
TMNT,95797812,54149098,56.5,41648714,43.5,2007
Shooter,95696996,47003582,49.1,48693414,50.9,2007
Michael Clayton,92991835,49033882,52.7,43957953,47.3,2007
No Reservations,92601050,43107979,46.6,49493071,53.4,2007
Fracture,92011561,39015018,42.4,52996543,57.6,2007
Epic Movie,87238158,39739367,45.6,47498791,54.4,2007
The Kingdom,87019158,47536778,54.6,39482380,45.4,2007
La Vie En Rose,86274793,10301706,11.9,75973087,88.1,2007
Zodiac,84785914,33080084,39.0,51705830,61.0,2007
Premonition,84146832,47852604,56.9,36294228,43.1,2007
Hannibal Rising,82169884,27670986,33.7,54498898,66.3,2007
Rabbit Without Ears,81744033,0,0.0,81744033,100.0,2007
Hot Fuzz,80577265,23637265,29.3,56940000,70.7,2007
Halloween,80460948,58272029,72.4,22188919,27.6,2007
The Orphanage,78638987,7161284,9.1,71477703,90.9,2007
The Number 23,77677553,35193167,45.3,42484386,54.7,2007
Next,77621983,18211013,23.5,59410970,76.5,2007
There Will Be Blood,76181545,40222514,52.8,35959031,47.2,2007
Elizabeth: The Golden Age,75782758,16383509,21.6,59399249,78.4,2007
30 Days of Night,75513170,39569000,52.4,35944170,47.6,2007
Stomp the Yard,75511123,61356221,81.3,14154902,18.7,2007
Dragon Wars: D0War,75108817,10977721,14.6,64131096,85.4,2007
The Kite Runner,75011029,15800078,21.1,59210951,78.9,2007
Perfect Stranger,73534117,23984949,32.6,49549168,67.4,2007
License to Wed,70181325,43799818,62.4,26381507,37.6,2007
3:10 to Yuma,70016220,53606916,76.6,16409304,23.4,2007
The Brave One,69787394,36793804,52.7,32993590,47.3,2007
Because I Said So,69485490,42674040,61.4,26811450,38.6,2007
Mr. Magorium's Wonder Emporium,69474661,32061555,46.1,37413106,53.9,2007
Dan in Real Life,68471669,47642963,69.6,20828706,30.4,2007
Lust Caution,67091915,4604982,6.9,62486933,93.1,2007
August Rush,66122026,31664162,47.9,34457864,52.1,2007
Underdog,65270477,43760605,67.0,21509872,33.0,2007
Taxi 4,65125001,0,0.0,65125001,100.0,2007
28 Weeks Later,65048678,28638916,44.0,36409762,56.0,2007
Lions for Lambs,64811540,15002854,23.1,49808686,76.9,2007
The Reaping,62771059,25126214,40.0,37644845,60.0,2007
Good Luck Chuck,59768495,35017297,58.6,24751198,41.4,2007
Are We Done Yet?,58388068,49662533,85.1,8725535,14.9,2007
The Mist,57470220,25594957,44.5,31875263,55.5,2007
Smokin' Aces,57232879,35787686,62.5,21445193,37.5,2007
Into the Wild,56674477,18354356,32.4,38320121,67.6,2007
Eastern Promises,56106607,17266000,30.8,38840607,69.2,2007
Why Did I Get Married?,55862886,55204525,98.8,658361,1.2,2007
The Irony of Fate 2,55639741,0,0.0,55639741,100.0,2007
We Own the Night,55033767,28563179,51.9,26470588,48.1,2007
The Messengers,55010659,35374833,64.3,19635826,35.7,2007
Sea Monsters: A Prehistoric Adventure,50652463,23746066,46.9,26906397,53.1,2007
This Christmas,49778552,49121934,98.7,656618,1.3,2007
